ville,contract_type,what,offre_n,titre_offre,salaire,url
Paris,"CDI,CDD",Data,1,Data Engineer Big Data - CDI H/F,De 45 000 € à 65 000 € par an,https://www.jobijoba.com/fr/redirect/offer/499/cd66828b6b6a49d99c46df5039a55ec2
Paris,"CDI,CDD",Data,2,Data Engineer H/F,De 50 000 € à 60 000 € par an,https://www.jobijoba.com/fr/redirect/offer/54/85479ad88673d15a6ad4dd6d8429b995
Paris,"CDI,CDD",Data,3,Product Owner Data H/F,De 50 000 € à 60 000 € par an,https://www.jobijoba.com/fr/redirect/offer/54/d333bd5659c7a507a3315e23ab366e57
Paris,"CDI,CDD",Data,4,Data Science - MLOps Senior H/F,De 38 000 € à 48 000 € par an,https://www.jobijoba.com/fr/redirect/offer/54/aebe09b009e10f16d3ec93d6ead62d19
Paris,"CDI,CDD",Data,5,Chef de Projet Technico Fonctionnel Data Etl H/F,De 50 000 € à 65 000 € par an,https://www.jobijoba.com/fr/redirect/offer/54/b6cf54866d45f56083ca3b59bf27fa36
ville,contract_type,what,offre_n,titre_offre,salaire,url
Paris,"CDI,CDD",Data,1,Data Engineer Big Data - CDI H/F,De 45 000 € à 65 000 € par an,https://www.jobijoba.com/fr/redirect/offer/499/cd66828b6b6a49d99c46df5039a55ec2
Paris,"CDI,CDD",Data,2,Data Engineer H/F,De 50 000 € à 60 000 € par an,https://www.jobijoba.com/fr/redirect/offer/54/85479ad88673d15a6ad4dd6d8429b995
Paris,"CDI,CDD",Data,3,Product Owner Data H/F,De 50 000 € à 60 000 € par an,https://www.jobijoba.com/fr/redirect/offer/54/d333bd5659c7a507a3315e23ab366e57
Paris,"CDI,CDD",Data,4,Data Science - MLOps Senior H/F,De 38 000 € à 48 000 € par an,https://www.jobijoba.com/fr/redirect/offer/54/aebe09b009e10f16d3ec93d6ead62d19
Paris,"CDI,CDD",Data,5,Chef de Projet Technico Fonctionnel Data Etl H/F,De 50 000 € à 65 000 € par an,https://www.jobijoba.com/fr/redirect/offer/54/b6cf54866d45f56083ca3b59bf27fa36
